iter	RMSE
0	3898.262162
1	3799.777739
2	3704.67352
3	3612.157571
4	3522.541625
5	3436.303113
6	3352.971199
7	3272.614413
8	3194.778796
9	3119.261066
10	3047.098785
11	2976.788099
12	2909.282098
13	2844.340612
14	2780.790476
15	2720.58592
16	2662.10469
17	2606.079705
18	2552.315576
19	2500.742097
20	2451.146348
21	2402.939362
22	2356.490781
23	2312.442225
24	2269.775738
25	2228.386265
26	2188.404909
27	2150.11945
28	2113.737465
29	2078.610088
30	2045.220788
31	2013.609811
32	1982.987333
33	1953.697825
34	1925.37991
35	1898.741538
36	1872.90992
37	1848.476702
38	1825.321357
39	1802.79265
40	1781.499098
41	1760.784228
42	1741.133758
43	1722.262865
44	1704.936516
45	1687.910683
46	1671.601703
47	1656.290002
48	1641.944271
49	1627.767522
50	1614.197222
51	1601.283168
52	1589.083581
53	1577.670325
54	1567.042882
55	1556.785316
56	1547.018992
57	1537.94216
58	1529.118776
59	1520.669761
60	1512.51097
61	1504.837904
62	1497.624474
63	1490.823639
64	1484.25907
65	1477.896759
66	1472.077903
67	1466.391709
68	1460.797679
69	1455.505589
70	1450.521521
71	1445.87391
72	1441.547774
73	1437.363251
74	1433.34651
75	1429.499232
76	1425.897012
77	1422.362271
78	1419.140921
79	1416.064077
80	1413.216934
81	1410.429861
82	1407.78478
83	1405.45703
84	1403.090771
85	1400.903107
86	1398.822241
87	1396.772936
88	1394.713961
89	1392.88822
90	1391.040366
91	1389.350163
92	1387.69616
93	1386.196575
94	1384.827748
95	1383.423431
96	1382.035926
97	1380.801862
98	1379.545828
99	1378.321249
100	1377.192607
101	1376.135917
102	1375.07032
103	1374.144483
104	1373.195016
105	1372.302295
106	1371.385121
107	1370.660034
108	1369.85694
109	1369.051599
110	1368.327278
111	1367.571921
112	1366.915504
113	1366.238034
114	1365.665584
115	1365.121182
116	1364.560475
117	1363.99569
118	1363.419974
119	1362.91822
120	1362.423138
121	1361.952822
122	1361.426524
123	1361.038649
124	1360.591129
125	1360.221753
126	1359.81318
127	1359.421699
128	1358.995964
129	1358.616842
130	1358.264218
131	1357.939695
132	1357.66984
133	1357.332903
134	1357.054337
135	1356.743173
136	1356.395318
137	1356.113658
138	1355.816523
139	1355.495924
140	1355.20455
141	1354.902611
142	1354.669545
143	1354.444473
144	1354.230669
145	1354.019415
146	1353.745412
147	1353.510467
148	1353.274932
149	1353.061729
150	1352.799961
151	1352.529017
152	1352.28077
153	1352.089584
154	1351.929695
155	1351.773135
156	1351.622783
157	1351.439413
158	1351.162293
159	1350.957139
160	1350.831084
161	1350.646169
162	1350.520929
163	1350.395093
164	1350.251251
165	1350.019981
166	1349.900726
167	1349.784754
168	1349.572664
169	1349.38342
170	1349.270476
171	1349.095737
172	1348.945345
173	1348.822428
174	1348.577838
175	1348.461147
176	1348.307036
177	1348.139453
178	1347.955589
179	1347.82679
180	1347.610567
181	1347.522368
182	1347.374506
183	1347.230592
184	1347.119576
185	1347.016847
186	1346.856355
187	1346.746863
188	1346.669818
189	1346.517892
190	1346.372535
191	1346.189534
192	1346.070555
193	1345.929509
194	1345.827647
195	1345.729359
196	1345.597698
197	1345.471863
198	1345.355119
199	1345.218777
200	1345.037277
201	1344.940922
202	1344.836663
203	1344.734087
204	1344.593152
205	1344.465913
206	1344.329137
207	1344.272123
208	1344.102153
209	1344.002568
210	1343.894279
211	1343.783832
212	1343.692843
213	1343.563916
214	1343.367593
215	1343.266876
216	1343.15002
217	1343.013466
218	1342.903996
219	1342.710691
220	1342.611051
221	1342.449802
222	1342.264933
223	1342.142993
224	1342.072409
225	1341.993215
226	1341.904667
227	1341.836782
228	1341.694204
229	1341.577404
230	1341.440582
231	1341.328356
232	1341.233841
233	1341.155668
234	1340.964351
235	1340.83674
236	1340.672597
237	1340.588775
238	1340.43536
239	1340.364761
240	1340.318078
241	1340.157545
242	1340.0555
243	1339.929036
244	1339.826001
245	1339.674162
246	1339.613696
247	1339.580471
248	1339.461928
249	1339.392815
250	1339.322201
251	1339.166303
252	1339.066685
253	1339.012811
254	1338.931618
255	1338.832831
256	1338.791687
257	1338.722099
258	1338.550681
259	1338.441173
260	1338.299228
261	1338.212539
262	1337.968207
263	1337.946168
264	1337.866443
265	1337.790553
266	1337.666746
267	1337.51482
268	1337.411063
269	1337.262417
270	1337.096706
271	1336.95815
272	1336.874128
273	1336.814005
274	1336.669422
275	1336.531554
276	1336.39407
277	1336.309439
278	1336.123908
279	1336.07749
280	1336.015011
281	1335.924118
282	1335.772236
283	1335.711815
284	1335.694118
285	1335.566493
286	1335.540951
287	1335.511653
288	1335.395921
289	1335.28552
290	1335.226732
291	1335.005676
292	1334.906114
293	1334.777698
294	1334.684251
295	1334.618078
296	1334.423828
297	1334.325923
298	1334.257833
299	1334.220726
300	1334.102667
301	1334.014517
302	1333.935188
303	1333.824
304	1333.738233
305	1333.712887
306	1333.595368
307	1333.484837
308	1333.415459
309	1333.364973
310	1333.264597
311	1333.171356
312	1333.10753
313	1333.021679
314	1332.925987
315	1332.867313
316	1332.747038
317	1332.48336
318	1332.399663
319	1332.340919
320	1332.212574
321	1332.130613
322	1332.067496
323	1331.96335
324	1331.881494
325	1331.827633
326	1331.750811
327	1331.56542
328	1331.484374
329	1331.420205
330	1331.321716
331	1331.259856
332	1331.083991
333	1330.926404
334	1330.774386
335	1330.647458
336	1330.590851
337	1330.416413
338	1330.262328
339	1330.142615
340	1329.998014
341	1329.91971
342	1329.837978
343	1329.76333
344	1329.718616
345	1329.573022
346	1329.511873
347	1329.362628
348	1329.261442
349	1329.17263
350	1328.961984
351	1328.832796
352	1328.732885
353	1328.615737
354	1328.409064
355	1328.207507
356	1328.162242
357	1327.991809
358	1327.909054
359	1327.776974
360	1327.69499
361	1327.583049
362	1327.504873
363	1327.370988
364	1327.294209
365	1327.134476
366	1327.058648
367	1327.003371
368	1326.93388
369	1326.836638
370	1326.612182
371	1326.510142
372	1326.407844
373	1326.224175
374	1326.14623
375	1326.060087
376	1325.95112
377	1325.904677
378	1325.806506
379	1325.721051
380	1325.597074
381	1325.483836
382	1325.381009
383	1325.297126
384	1325.225882
385	1325.142842
386	1325.060217
387	1324.939455
388	1324.769589
389	1324.636644
390	1324.596443
391	1324.538039
392	1324.404612
393	1324.356209
394	1324.291443
395	1324.105272
396	1324.004195
397	1323.834815
398	1323.781253
399	1323.71522
400	1323.633948
401	1323.591243
402	1323.481022
403	1323.375765
404	1323.273217
405	1323.195106
406	1323.016093
407	1322.977576
408	1322.935934
409	1322.853187
410	1322.756426
411	1322.71067
412	1322.506227
413	1322.432955
414	1322.249075
415	1322.184542
416	1322.098157
417	1322.010978
418	1321.916476
419	1321.881634
420	1321.839696
421	1321.763071
422	1321.649368
423	1321.551425
424	1321.491231
425	1321.419016
426	1321.331224
427	1321.17031
428	1321.127838
429	1321.021502
430	1320.954069
431	1320.912366
432	1320.825715
433	1320.754725
434	1320.701608
435	1320.513604
436	1320.393297
437	1320.246939
438	1320.142835
439	1320.07852
440	1320.007458
441	1319.92652
442	1319.837673
443	1319.752009
444	1319.702341
445	1319.657306
446	1319.578081
447	1319.469773
448	1319.390254
449	1319.263094
450	1319.164271
451	1319.115722
452	1319.064951
453	1319.007437
454	1318.89068
455	1318.812792
456	1318.732352
457	1318.677175
