iter	Passed	Remaining
0	5	5812
1	11	5576
2	17	5691
3	21	5301
4	24	4791
5	27	4623
6	32	4577
7	35	4350
8	37	4163
9	42	4223
10	49	4429
11	54	4473
12	59	4512
13	66	4693
14	71	4665
15	73	4539
16	76	4436
17	79	4343
18	82	4258
19	85	4194
20	90	4212
21	96	4301
22	105	4477
23	112	4559
24	117	4588
25	120	4515
26	123	4451
27	127	4421
28	130	4367
29	135	4367
30	137	4312
31	140	4263
32	144	4244
33	147	4196
34	150	4160
35	153	4123
36	156	4086
37	160	4071
38	163	4037
39	167	4008
40	170	3981
41	173	3964
42	176	3935
43	179	3910
44	183	3885
45	186	3862
46	189	3836
47	192	3814
48	195	3790
49	198	3767
50	201	3747
51	204	3727
52	207	3707
53	210	3693
54	213	3676
55	216	3657
56	220	3639
57	223	3623
58	227	3625
59	233	3658
60	239	3688
61	243	3686
62	247	3682
63	253	3706
64	258	3714
65	263	3734
66	268	3734
67	272	3729
68	275	3714
69	278	3698
70	281	3687
71	284	3673
72	288	3662
73	291	3647
74	294	3636
75	297	3622
76	301	3608
77	304	3594
78	307	3582
79	310	3571
80	313	3558
81	316	3545
82	319	3531
83	322	3520
84	325	3508
85	329	3498
86	332	3486
87	335	3477
88	338	3467
89	341	3457
90	345	3446
91	348	3436
92	351	3427
93	354	3416
94	357	3405
95	360	3397
96	363	3388
97	367	3378
98	370	3369
99	373	3359
100	376	3349
101	379	3339
102	382	3330
103	385	3322
104	388	3313
105	392	3306
106	395	3299
107	398	3291
108	401	3284
109	405	3278
110	408	3272
111	411	3264
112	414	3257
113	418	3249
114	421	3242
115	424	3234
116	427	3225
117	430	3218
118	434	3213
119	437	3205
120	440	3198
121	443	3189
122	446	3181
123	449	3174
124	452	3168
125	455	3162
126	459	3155
127	462	3148
128	465	3142
129	468	3136
130	471	3129
131	474	3122
132	477	3115
133	481	3110
134	484	3104
135	487	3097
136	490	3090
137	493	3083
138	496	3076
139	499	3070
140	503	3064
141	506	3059
142	509	3054
143	512	3047
144	515	3041
145	522	3059
146	526	3053
147	529	3045
148	532	3039
149	535	3033
150	538	3027
151	541	3019
152	544	3012
153	547	3007
154	550	3001
155	553	2995
156	556	2990
157	560	2984
158	563	2979
159	566	2973
160	569	2967
161	572	2962
162	575	2957
163	579	2955
164	582	2949
165	586	2945
166	589	2939
167	592	2934
168	595	2928
169	598	2923
170	602	2919
171	605	2914
172	608	2909
173	616	2927
174	623	2938
175	626	2933
176	629	2928
177	632	2922
178	635	2917
179	639	2911
180	642	2908
181	645	2903
182	649	2897
183	652	2893
184	655	2888
185	658	2882
186	661	2877
187	665	2872
188	668	2867
189	671	2862
190	674	2858
191	678	2853
192	681	2847
193	684	2842
194	687	2837
195	690	2831
196	693	2826
197	696	2821
198	699	2816
199	702	2811
200	706	2807
201	709	2801
202	712	2796
203	715	2790
204	718	2785
205	721	2780
206	724	2776
207	728	2773
208	731	2770
209	735	2765
210	738	2760
211	741	2757
212	745	2752
213	748	2748
214	751	2744
215	754	2740
216	758	2735
217	761	2730
218	764	2725
219	767	2720
220	770	2715
221	773	2710
222	776	2705
223	779	2700
224	782	2696
225	786	2692
226	789	2688
227	792	2684
228	795	2679
229	799	2675
230	802	2671
231	805	2667
232	808	2663
233	812	2658
234	815	2654
235	818	2649
236	821	2644
237	824	2640
238	827	2636
239	830	2631
240	834	2626
241	837	2622
242	840	2618
243	843	2614
244	846	2609
245	850	2605
246	853	2601
247	856	2597
248	859	2592
249	862	2588
250	865	2583
251	869	2579
252	872	2575
253	875	2570
254	878	2566
255	881	2561
256	884	2557
257	887	2553
258	891	2549
259	893	2544
260	897	2539
261	900	2535
262	903	2530
263	906	2525
264	909	2521
265	912	2517
266	915	2513
267	918	2509
268	921	2505
269	925	2501
270	928	2497
271	931	2493
272	934	2488
273	937	2484
274	940	2480
275	944	2476
276	947	2472
277	950	2468
278	953	2463
279	956	2459
280	959	2455
281	963	2452
282	966	2447
283	969	2443
284	972	2439
285	975	2435
286	978	2431
287	981	2427
288	985	2423
289	988	2419
290	991	2415
291	994	2411
292	997	2407
293	1004	2412
294	1007	2408
295	1010	2404
296	1014	2400
297	1017	2396
298	1020	2392
299	1023	2389
300	1027	2385
301	1030	2381
302	1033	2377
303	1036	2372
304	1039	2369
305	1042	2364
306	1046	2361
307	1049	2357
308	1052	2353
309	1055	2350
310	1059	2346
311	1062	2342
312	1065	2338
313	1068	2334
314	1071	2330
315	1074	2326
316	1077	2322
317	1081	2318
318	1084	2314
319	1087	2310
320	1090	2306
321	1093	2302
322	1097	2299
323	1100	2295
324	1103	2291
325	1106	2287
326	1110	2285
327	1119	2292
328	1124	2293
329	1127	2289
330	1130	2285
331	1133	2281
332	1138	2279
333	1142	2278
334	1146	2274
335	1149	2271
336	1152	2267
337	1156	2265
338	1159	2261
339	1163	2257
340	1166	2253
341	1169	2249
342	1172	2245
343	1175	2241
344	1178	2238
345	1181	2234
346	1185	2230
347	1188	2226
348	1191	2222
349	1194	2218
350	1198	2216
351	1204	2217
352	1207	2213
353	1211	2210
354	1215	2208
355	1219	2205
356	1222	2201
357	1225	2197
358	1228	2193
359	1231	2189
360	1234	2185
361	1237	2181
362	1241	2177
363	1244	2174
364	1247	2170
365	1250	2166
366	1254	2162
367	1257	2159
368	1260	2155
369	1263	2151
370	1266	2147
371	1269	2143
372	1272	2139
373	1275	2135
374	1279	2131
375	1282	2127
376	1285	2124
377	1288	2120
378	1291	2116
379	1295	2113
380	1298	2109
381	1301	2105
382	1304	2101
383	1307	2098
384	1310	2094
385	1314	2090
386	1317	2086
387	1321	2083
388	1324	2079
